Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Taharoa","Total people, usual residence five years ago","Total people, age group","Total people, sex",231,
"Mahoenui","Total people, usual residence five years ago","Total people, age group","Total people, sex",399,
"Marokopa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1539,
"Waipa Valley","Total people, usual residence five years ago","Total people, age group","Total people, sex",1050,
"Tiroa","Total people, usual residence five years ago","Total people, age group","Total people, sex",51,
"Mokauiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",1026,
"Te Kuiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",4218,
"Inlet-Waitomo District","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Omori","Total people, usual residence five years ago","Total people, age group","Total people, sex",195,
"Kuratau","Total people, usual residence five years ago","Total people, age group","Total people, sex",276,
"Mangakino","Total people, usual residence five years ago","Total people, age group","Total people, sex",741,
"Turangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",2955,
"Acacia Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",1425,
"Wairakei-Aratiatia","Total people, usual residence five years ago","Total people, age group","Total people, sex",603,
"Maunganamu","Total people, usual residence five years ago","Total people, age group","Total people, sex",411,
"Taupo East","Total people, usual residence five years ago","Total people, age group","Total people, sex",6,
"Wharewaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",498,
"Rangatira Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",696,
"Rangatira","Total people, usual residence five years ago","Total people, age group","Total people, sex",78,
"Lakewood","Total people, usual residence five years ago","Total people, age group","Total people, sex",1425,
"Marotiri","Total people, usual residence five years ago","Total people, age group","Total people, sex",1557,
"Kinloch","Total people, usual residence five years ago","Total people, age group","Total people, sex",489,
"Tatua","Total people, usual residence five years ago","Total people, age group","Total people, sex",288,
"Oruanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",2268,
"Rangitaiki","Total people, usual residence five years ago","Total people, age group","Total people, sex",138,
"Broadlands","Total people, usual residence five years ago","Total people, age group","Total people, sex",639,
"Waitahanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",414,
"Tongariro","Total people, usual residence five years ago","Total people, age group","Total people, sex",501,
"Motuoapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",240,
"Tokaanu","Total people, usual residence five years ago","Total people, age group","Total people, sex",192,
"Rangipo","Total people, usual residence five years ago","Total people, age group","Total people, sex",99,
"Te More","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Taharua","Total people, usual residence five years ago","Total people, age group","Total people, sex",57,
"Nukuhau","Total people, usual residence five years ago","Total people, age group","Total people, sex",1509,
"Taupo Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3573,
"Tauhara","Total people, usual residence five years ago","Total people, age group","Total people, sex",4113,
"Hilltop","Total people, usual residence five years ago","Total people, age group","Total people, sex",3540,
"Waipahihi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1884,
"Richmond Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",2106,
