Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Hautapu","Total people, usual residence five years ago","Total people, age group","Total people, sex",1914,
"Swayne","Total people, usual residence five years ago","Total people, age group","Total people, sex",1461,
"Cambridge North","Total people, usual residence five years ago","Total people, age group","Total people, sex",3006,
"Cambridge West","Total people, usual residence five years ago","Total people, age group","Total people, sex",2718,
"Cambridge Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",765,
"Leamington West","Total people, usual residence five years ago","Total people, age group","Total people, sex",3528,
"Leamington East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3846,
"Ohaupo","Total people, usual residence five years ago","Total people, age group","Total people, sex",519,
"Kihikihi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1974,
"Ngahinapouri","Total people, usual residence five years ago","Total people, age group","Total people, sex",2106,
"Lake Cameron","Total people, usual residence five years ago","Total people, age group","Total people, sex",1173,
"Te Rore","Total people, usual residence five years ago","Total people, age group","Total people, sex",420,
"Pirongia","Total people, usual residence five years ago","Total people, age group","Total people, sex",1413,
"Pokuru","Total people, usual residence five years ago","Total people, age group","Total people, sex",528,
"Lake Ngaroto","Total people, usual residence five years ago","Total people, age group","Total people, sex",564,
"Tokanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",444,
"Pukerimu","Total people, usual residence five years ago","Total people, age group","Total people, sex",465,
"Kaipaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",975,
"Rotoorangi","Total people, usual residence five years ago","Total people, age group","Total people, sex",1935,
"Te Rahu","Total people, usual residence five years ago","Total people, age group","Total people, sex",900,
"Kihikihi Flat","Total people, usual residence five years ago","Total people, age group","Total people, sex",789,
"Allen Road","Total people, usual residence five years ago","Total people, age group","Total people, sex",204,
"Rotongata","Total people, usual residence five years ago","Total people, age group","Total people, sex",819,
"Te Awamutu West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1305,
"Te Awamutu Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",3321,
"Te Awamutu East","Total people, usual residence five years ago","Total people, age group","Total people, sex",2766,
"Te Awamutu South","Total people, usual residence five years ago","Total people, age group","Total people, sex",2910,
"Karapiro","Total people, usual residence five years ago","Total people, age group","Total people, sex",2628,
"Kawhia Community","Total people, usual residence five years ago","Total people, age group","Total people, sex",336,
"Otorohanga","Total people, usual residence five years ago","Total people, age group","Total people, sex",2514,
"Otorohanga Rural West","Total people, usual residence five years ago","Total people, age group","Total people, sex",1848,
"Te Kawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",447,
"Otorohanga Rural East","Total people, usual residence five years ago","Total people, age group","Total people, sex",3990,
"Te Motu Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlets-Otorohanga District","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tirau","Total people, usual residence five years ago","Total people, age group","Total people, sex",690,
"Mangakaretu","Total people, usual residence five years ago","Total people, age group","Total people, sex",231,
"Kinleith","Total people, usual residence five years ago","Total people, age group","Total people, sex",237,
"Tapapa","Total people, usual residence five years ago","Total people, age group","Total people, sex",999,
"Arapuni","Total people, usual residence five years ago","Total people, age group","Total people, sex",2190,
"Lichfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",990,
"Wawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",714,
"Paraonui","Total people, usual residence five years ago","Total people, age group","Total people, sex",1728,
"Parkdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",666,
"Matarawa","Total people, usual residence five years ago","Total people, age group","Total people, sex",1899,
"Stanley Park","Total people, usual residence five years ago","Total people, age group","Total people, sex",2034,
"Tokoroa Central","Total people, usual residence five years ago","Total people, age group","Total people, sex",717,
"Aotea","Total people, usual residence five years ago","Total people, age group","Total people, sex",2979,
"Strathmore","Total people, usual residence five years ago","Total people, age group","Total people, sex",2070,
"Amisfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",153,
"Putaruru","Total people, usual residence five years ago","Total people, age group","Total people, sex",3777,
"Piopio","Total people, usual residence five years ago","Total people, age group","Total people, sex",393,
